inventory_id,word,make,model,model_year,sold_price,sold_date,winner_bidder_number,auction_number
30000,bibendum,Oldsmobile,Silhouette,1998,46.99,2020-03-19,10000,200000
30001,auctor,Ford,Transit Connect Cargo,2013,137.95,2020-03-20,10001,200001
30002,Integer,Acura,Integra,2001,128.99,2023-02-07,10002,200002
30003,posuere,Rolls-Royce,Wraith,2017,43.99,2015-05-01,10003,200003
30004,conubia,Chevrolet,Tahoe,2006,164.99,2013-05-19,10004,200004
30005,felis,Jeep,Renegade,2017,93.95,2019-03-21,10005,200005
30006,dignissim,Lexus,GX,2009,169,2020-02-10,10006,200006
30007,Donec,Hyundai,Tiburon,1997,175.95,2015-08-12,10007,200007
30008,lectus,Cadillac,CTS,2011,133.95,2021-03-18,10008,200008
30009,mauris,Nissan,Murano,2009,114.95,2011-07-13,10009,200009
30010,inceptos,Pontiac,Grand Am,2001,110.95,2012-05-11,10010,200010
30011,eget,Land Rover,LR2,2011,173,2011-10-19,10011,200011
30012,eget,Ford,E150 Super Duty Cargo,2004,177,2021-05-24,10012,200012
30013,dictum,Ford,Taurus,1992,16,2021-04-09,10013,200013
30014,Donec,Ford,F350 Super Duty Regular Cab,2017,177.95,2015-10-20,10014,200014
30015,felis,Nissan,Sentra,1998,184,2013-09-06,10015,200015
30016,nibh,Mercedes-Benz,C-Class,1996,169.95,2017-10-30,10016,200016
30017,ipsum,Toyota,Tacoma Access Cab,2016,58.99,2016-12-29,10017,200017
30018,Sed,Volkswagen,Golf,2018,168.99,2013-04-11,10018,200018
30019,Pellentesque,Ford,Fiesta,2011,75.99,2021-02-06,10019,200019
30020,aliquet,MAZDA,MAZDA3,2009,148.95,2011-08-19,10020,200020
30021,gravida,MINI,Convertible,2012,188.99,2015-05-04,10021,200021
30022,Aenean,Mercedes-Benz,Sprinter 2500 Passenger,2016,30,2012-07-31,10022,200022
30023,mauris,GMC,Savana 2500 Cargo,2002,94,2010-09-22,10023,200023
30024,Fusce,MAZDA,MX-5 Miata,1992,157.95,2021-08-07,10024,200024
30025,tempus,Volkswagen,Golf,2015,138,2014-08-20,10025,200025
30026,pellentesque,Pontiac,Grand Am,2004,169.99,2018-01-30,10026,200026
30027,laoreet,Audi,SQ5,2016,150,2022-03-09,10027,200027
30028,sem,Ford,Explorer Sport Trac,2004,189,2014-09-15,10028,200028
30029,Vestibulum,GMC,Sierra 2500 HD Extended Cab,2012,92,2017-02-09,10029,200029
30030,Sed,Porsche,Macan,2016,163.95,2015-05-08,10030,200030
30031,libero,Mercury,Cougar,2002,195.95,2014-09-27,10031,200031
30032,risus,Cadillac,Escalade ESV,2015,127.95,2017-06-22,10032,200032
30033,id,Toyota,Highlander,2012,92,2021-10-09,10033,200033
30034,Nulla,INFINITI,M,2006,85,2018-07-03,10034,200034
30035,nulla,Mercedes-Benz,B-Class,2014,102,2018-03-23,10035,200035
30036,Duis,Nissan,Maxima,2007,29,2012-03-21,10036,200036
30037,eros,Ram,2500 Crew Cab,2012,149.99,2016-03-20,10037,200037
30038,volutpat,Chevrolet,Express 2500 Cargo,2007,162.99,2014-07-30,10038,200038
30039,in,Rolls-Royce,Phantom,2010,78.95,2018-06-06,10039,200039
30040,auctor,Suzuki,Esteem,1996,94,2018-03-11,10040,200040
30041,eu,INFINITI,QX50,2016,131,2021-02-22,10041,200041
30042,dapibus,Kia,Optima,2013,127.99,2022-04-05,10042,200042
30043,natoque,Subaru,BRZ,2013,129.99,2013-02-11,10043,200043
30044,consequat,Nissan,TITAN Single Cab,2019,141.95,2013-07-17,10044,200044
30045,ultricies,Toyota,Camry,1992,31.95,2018-01-20,10045,200045
30046,vel,Mercedes-Benz,E-Class,2014,16,2012-07-23,10046,200046
30047,et,Dodge,Caravan Cargo,2007,85.95,2022-10-27,10047,200047
30048,augue,Nissan,Altima,2016,71.99,2017-08-08,10048,200048
30049,tincidunt,GMC,Safari Passenger,1996,176.95,2023-01-16,10049,200049
30050,dignissim,Isuzu,Ascender,2007,100.99,2016-01-20,10050,200050
30051,mattis,Chevrolet,Suburban 2500,1995,50.95,2022-02-09,10051,200051
30052,lorem,Suzuki,Grand Vitara,2012,199.99,2012-09-21,10052,200052
30053,vel,Lexus,GS,2017,17.95,2017-05-30,10053,200053
30054,Fusce,BMW,6 Series,2005,173,2019-07-06,10054,200054
30055,vel,Ferrari,California,2010,41.95,2012-03-02,10055,200055
30056,laoreet,Nissan,Titan Crew Cab,2007,59,2014-05-05,10056,200056
30057,lacus,Jeep,Grand Cherokee,2002,21.99,2022-09-03,10057,200057
30058,quam,Ram,1500 Quad Cab,2017,94,2012-09-25,10058,200058
30059,Quisque,GMC,Sierra 1500 Regular Cab,2007,57,2018-12-13,10059,200059
30060,dolor,Volkswagen,Beetle,2015,125.99,2022-06-23,10060,200060
30061,at,GMC,Savana 1500 Cargo,2014,82.99,2021-02-05,10061,200061
30062,imperdiet,Chevrolet,Silverado 1500 Extended Cab,1999,145.99,2017-02-12,10062,200062
30063,amet,GMC,Savana 2500 Cargo,2012,141.99,2015-09-29,10063,200063
30064,posuere,BMW,M2,2019,57,2019-05-24,10064,200064
30065,molestie,Mercedes-Benz,Mercedes-AMG GLE,2019,124.99,2020-06-15,10065,200065
30066,ultrices,Nissan,Quest,2012,102,2022-10-08,10066,200066
30067,ante,Ford,Focus,2004,196.99,2018-07-25,10067,200067
30068,dignissim,Honda,Insight,2002,35,2019-03-25,10068,200068
30069,sed,Mercedes-Benz,S-Class,2010,94.95,2021-09-03,10069,200069
30070,vitae,Buick,Park Avenue,1998,54.95,2014-05-02,10070,200070
30071,quis,Audi,A4 (2005.5),2005,94.99,2018-12-14,10071,200071
30072,non,Subaru,WRX,2016,162,2010-01-03,10072,200072
30073,Mauris,Hyundai,Tucson,2008,32.95,2022-10-18,10073,200073
30074,eu,Ford,Taurus,1998,50,2019-02-11,10074,200074
30075,Integer,Volkswagen,Golf GTI,2019,25,2014-04-07,10075,200075
30076,Donec,Chevrolet,Astro Cargo,2004,38.95,2017-11-07,10076,200076
30077,placerat,Nissan,370Z,2015,194.95,2012-10-09,10077,200077
30078,accumsan,Lexus,IS,2016,79,2022-07-15,10078,200078
30079,potenti,Cadillac,CT6-V,2019,61.95,2015-12-11,10079,200079
30080,Praesent,Porsche,Cayman,2014,70.99,2010-05-07,10080,200080
30081,enim,Plymouth,Colt,1992,46.95,2018-06-01,10081,200081
30082,elementum,Dodge,Ram 1500 Quad Cab,1998,144,2019-01-15,10082,200082
30083,luctus,Nissan,Frontier King Cab,2002,121,2017-01-19,10083,200083
30084,felis,Chrysler,Town & Country,2007,10,2011-03-12,10084,200084
30085,sed,Dodge,Ram 2500 Regular Cab,2002,163.95,2021-10-23,10085,200085
30086,at,Ram,ProMaster Window Van,2016,65,2013-03-01,10086,200086
30087,mauris,Ferrari,612 Scaglietti,2009,117.99,2013-09-26,10087,200087
30088,in,Volvo,V50,2009,108,2022-05-19,10088,200088
30089,a,GMC,3500 Regular Cab,1994,43.99,2015-02-27,10089,200089
30090,elit,Cadillac,Escalade EXT,2007,169.99,2017-02-26,10090,200090
30091,Aliquam,Pontiac,Grand Prix,1995,37.95,2011-09-08,10091,200091
30092,rutrum,Tesla,Model S,2018,127,2019-03-08,10092,200092
30093,Morbi,Mercedes-Benz,Mercedes-AMG C-Class,2018,169.95,2014-08-31,10093,200093
30094,dapibus,Chevrolet,Suburban 1500,1992,189,2015-10-27,10094,200094
30095,dignissim,Buick,Roadmaster,1993,118,2012-05-02,10095,200095
30096,efficitur,Mercedes-Benz,Mercedes-AMG GT,2018,179,2022-06-01,10096,200096
30097,pellentesque,Cadillac,ATS,2013,129.99,2010-03-07,10097,200097
30098,at,Chevrolet,Spark,2017,179,2012-07-14,10098,200098
30099,porta,Toyota,4Runner,2008,159,2014-08-19,10099,200099
30100,enim,GMC,3500 Club Coupe,1997,87.99,2017-03-21,10100,200100
30101,luctus,Dodge,Charger,2018,33,2020-12-13,10101,200101
30102,Duis,Saab,9000,1996,71,2013-07-15,10102,200102
30103,odio,Mercedes-Benz,S-Class,2008,32.99,2019-12-10,10103,200103
30104,sit,BMW,X5 M,2015,126.95,2015-08-11,10104,200104
30105,sapien,Toyota,Tundra Regular Cab,2012,45,2021-01-10,10105,200105
30106,nascetur,Chevrolet,Express 1500 Passenger,2000,148.95,2017-05-26,10106,200106
30107,ante,Toyota,Previa,1996,122,2022-12-22,10107,200107
30108,ut,Rolls-Royce,Dawn,2017,199,2010-08-07,10108,200108
30109,ante,Eagle,Talon,1998,159.99,2019-01-13,10109,200109
30110,amet,Chevrolet,Spark,2017,19,2019-01-09,10110,200110
30111,id,BMW,X5 M,2010,87,2018-08-05,10111,200111
30112,venenatis,Chevrolet,Silverado 1500 Crew Cab,2010,156,2020-12-02,10112,200112
30113,blandit,Lincoln,Navigator,2014,167,2015-11-18,10113,200113
30114,tempus,Bentley,Arnage,2007,141.99,2016-05-23,10114,200114
30115,lectus,Ford,F150 Regular Cab,1998,34.99,2016-01-21,10115,200115
30116,justo,BMW,M4,2015,40.99,2015-02-15,10116,200116
30117,nulla,Hyundai,Elantra GT,2017,33,2021-08-28,10117,200117
30118,ipsum,Jaguar,XJ,2000,184.95,2019-08-30,10118,200118
30119,eget,Nissan,Armada,2006,102.99,2018-03-14,10119,200119
30120,a,Rolls-Royce,Phantom,2007,142.95,2012-01-19,10120,200120
30121,nec,Toyota,Prius,2018,163.95,2011-04-05,10121,200121
30122,finibus,BMW,Z3,2002,162,2015-04-05,10122,200122
30123,ac,Dodge,Grand Caravan Cargo,2009,67.99,2018-01-09,10123,200123
30124,imperdiet,Dodge,Caravan Passenger,2007,84.95,2017-10-01,10124,200124
30125,tempus,Pontiac,Grand Prix,1993,28,2019-07-06,10125,200125
30126,purus,GMC,Sierra 1500 Crew Cab,2010,90,2010-12-30,10126,200126
30127,aliquet,Volkswagen,Touareg,2004,74.95,2015-12-24,10127,200127
30128,quam,Mercury,Mariner,2006,79,2010-02-07,10128,200128
30129,Etiam,GMC,Yukon,2009,160.99,2015-08-21,10129,200129
30130,orci,Toyota,Prius Plug-in Hybrid,2015,164.99,2018-03-30,10130,200130
30131,tristique,Porsche,911,2005,119.99,2020-11-26,10131,200131
30132,eu,BMW,M6,2019,195.99,2022-07-19,10132,200132
30133,placerat,Mitsubishi,Montero,1999,68.99,2012-06-16,10133,200133
30134,dui,Honda,Civic,2008,189.95,2014-04-12,10134,200134
30135,dui,Mercury,Grand Marquis,1996,126.99,2018-09-01,10135,200135
30136,semper,GMC,Savana 1500 Passenger,1998,128,2012-11-11,10136,200136
30137,egestas,Chevrolet,Traverse,2014,162,2017-05-28,10137,200137
30138,at,Honda,Ridgeline,2014,104.95,2023-02-28,10138,200138
30139,In,Ford,F250 Super Duty Crew Cab,2005,96.99,2011-07-08,10139,200139
30140,egestas,Volkswagen,Passat,2008,127.95,2012-07-27,10140,200140
30141,vel,Ford,F150 Super Cab,2012,61.95,2021-12-27,10141,200141
30142,ipsum,BMW,i3,2017,124,2021-04-19,10142,200142
30143,tellus,Ford,Thunderbird,1997,117,2019-02-26,10143,200143
30144,ligula,Suzuki,XL-7,2002,32.95,2017-10-18,10144,200144
30145,blandit,Ford,Explorer Sport Trac,2005,170.99,2018-12-14,10145,200145
30146,rutrum,Mercedes-Benz,Mercedes-AMG GLE Coupe,2017,63,2021-04-25,10146,200146
